        1	2022-07-15 09:00:16	1	0	1	0
        2	2022-07-15 09:25:11	1	0	1	0
        1	2022-07-15 18:28:46	1	0	1	0
        2	2022-07-15 18:33:02	1	0	1	0
        3	2022-07-15 18:33:28	1	0	1	0
        1	2022-07-16 09:20:49	1	0	1	0
        2	2022-07-16 10:08:16	1	0	1	0
        1	2022-07-16 15:05:20	1	0	1	0
        1	2022-07-18 09:08:37	1	0	1	0
        1	2022-07-18 18:28:40	1	0	1	0
        1	2022-07-19 09:17:47	1	0	1	0
        2	2022-07-19 10:08:03	1	0	1	0
        2	2022-07-19 10:08:04	1	0	1	0
        3	2022-07-20 08:54:30	1	0	1	0
        1	2022-07-20 08:58:46	1	0	1	0
        2	2022-07-20 10:31:36	1	0	1	0
        1	2022-07-21 09:06:56	1	0	1	0
        2	2022-07-21 09:47:05	1	0	1	0
        2	2022-07-21 09:47:06	1	0	1	0
        1	2022-07-21 18:28:06	1	0	1	0
        1	2022-07-22 09:04:49	1	0	1	0
        2	2022-07-22 09:29:34	1	0	1	0
        1	2022-07-23 11:11:16	1	0	1	0
        1	2022-07-25 09:10:59	1	0	1	0
        2	2022-07-25 09:55:58	1	0	1	0
        1	2022-07-26 09:13:51	1	0	1	0
        2	2022-07-26 09:32:04	1	0	1	0
        1	2022-07-26 18:28:58	1	0	1	0
        2	2022-07-26 18:50:17	1	0	1	0
        1	2022-07-27 09:13:55	1	0	1	0
        2	2022-07-27 09:35:34	1	0	1	0
        1	2022-07-27 14:59:48	1	0	1	0
